,Q.5-m1,Q.5-m2,Q.5-m3,Q.5-m4,Q.5-m5,Q.5-m6,Q.5-m7,Q.5-m8,Q.5-m9,Q.5-m10,Q.6-m1,Q.6-m2,Q.6-m3,Q.6-m4,Q.6-m5,Q.6-m6,Q.6-m7,Q.6-m8,Q.6-m9,Q.6-m10,Q.7-m1,Q.7-m2,Q.7-m3,Q.7-m4,Q.7-m5,Q.7-m6,Q.7-m7,Q.7-m8,Q.7-m9,Q.7-m10,Q.8-m1,Q.8-m2,Q.8-m3,Q.8-m4,Q.8-m5,Q.8-m6,Q.8-m7,Q.8-m8,Q.8-m9,Q.8-m10,Q.9-m1,Q.9-m2,Q.9-m3,Q.9-m4,Q.9-m5,Q.9-m6,Q.9-m7,Q.9-m8,Q.9-m9,Q.9-m10,Q.10-m1,Q.10-m2,Q.10-m3,Q.10-m4,Q.10-m5,Q.10-m6,Q.10-m7,Q.10-m8,Q.10-m9,Q.10-m10,Q.11-m1,Q.11-m2,Q.11-m3,Q.11-m4,Q.11-m5,Q.11-m6,Q.11-m7,Q.11-m8,Q.11-m9,Q.11-m10,Q.12-m1,Q.12-m2,Q.12-m3,Q.12-m4,Q.12-m5,Q.12-m6,Q.12-m7,Q.12-m8,Q.12-m9,Q.12-m10,Q.13-m1,Q.13-m2,Q.13-m4,Q.13-m5,Q.14-m1,Q.14-m2,Q.14-m3,Q.14-m4,Q.14-m5,Q.14-m6,Q.14-m7,Q.14-m8,Q.14-m9,Q.14-m10,Q.15-m1,Q.15-m2,Q.15-m3,Q.15-m4,Q.15-m5,Q.15-m6,Q.15-m7,Q.15-m8,Q.15-m9,Q.15-m10,Q.16-m1,Q.16-m2,Q.16-m3,Q.16-m4,Q.16-m5,Q.16-m6,Q.17-m1,Q.17-m2,Q.17-m3,Q.17-m4,Q.17-m5,Q.17-m6,group
Q.5-m1,1,0.627748329,0.725748912,0.732664557,0.517022822,0.684458682,0.669095984,0.268526063,0.551546052,0.588999268,0.588015346,0.549179068,0.539843214,0.209679994,-0.047894196,0.057309363,0.117399868,0.010277061,0.097157566,-0.209144564,0.197035735,0.014062067,0.277010961,0.139869992,-0.074041682,-0.115707033,0.123763893,0.122020572,0.150051648,0.104722458,0.306763538,0.311105641,0.064623653,0.200349174,0.063165156,-0.0014515,0.078117575,0.108847382,-0.010354676,0.061779087,0.074757029,0.097022579,0.251102569,0.249393663,-0.082483907,-0.119392255,-0.133791137,-0.14020801,-0.152716994,-0.08821038,-0.043053785,-0.327791352,-0.187446506,0.145427484,0.249078182,0.211727204,0.123183168,0.065035344,0.175570704,0.246406558,-0.015913817,0.133982437,0.041178738,0.0632802,0.291916049,0.268677527,0.318735634,0.394735097,0.325349706,0.263897629,-0.195750441,-0.233824139,-0.335155549,-0.110549442,0.032472328,-0.032805236,0.212290985,0.161648496,0.193970874,0.1065391,0.202456655,0.155565776,0.401640359,0.23683324,0.217465488,0.215019138,0.031539846,0.194502539,0.26475509,0.105143628,0.121097794,-0.134869053,-0.105316916,0.133061065,0.250483729,0.052213874,0.205787301,0.038067469,-0.07669376,0.00680687,-0.151394381,-0.085733554,0.077662128,0.040880144,0.284426802,-0.025557377,0.109933676,0.331142685,0.314722725,0.119044714,0.136909549,0.368023796,0.323926237,0.263375681,0.351021917,0.289616195,-0.05693633
Q.5-m2,0.627748329,1,0.728710897,0.662751993,0.672403131,0.552491069,0.669366868,0.319994809,0.529536856,0.661040012,0.52309315,0.466981898,0.484596129,0.220761114,0.028077984,0.099681313,0.18224513,0.061668147,0.1032313,-0.18055652,0.195823556,0.053183758,0.314141965,0.164130506,-0.01290921,-0.032152653,0.172610205,0.148602151,0.14997179,0.152055265,0.264750314,0.315425237,0.116768218,0.159100553,0.048824181,-0.065374847,0.022771298,0.05968199,-0.042041833,0.027375766,0.056066769,0.103834136,0.226840446,0.235143481,-0.037416043,-0.049668615,-0.067391699,-0.111865704,-0.066836298,-0.095156457,0.00726758,-0.289074222,-0.130549396,0.246117765,0.213930456,0.196008293,0.112873008,0.085050733,0.211323511,0.279269226,-0.026645753,0.169725048,0.072406521,0.103297283,0.364079483,0.259886964,0.304176894,0.376038459,0.301577348,0.299826221,-0.120134916,-0.188084915,-0.243244546,-0.089242253,0.117974917,0.021550875,0.197685352,0.1801966,0.184528391,0.055916277,0.270686709,0.149505451,0.396715536,0.205410967,0.233722473,0.200273231,0.046567201,0.1903471,0.252502309,0.068996532,0.079236635,-0.088523735,-0.042518331,0.139775245,0.24033215,0.082642515,0.187603041,0.058401366,-0.017447909,0.054308119,-0.082835103,-0.05398645,0.094557477,0.078521349,0.268040666,-0.026183215,0.081979895,0.396925547,0.355738369,0.088466715,0.127840465,0.367015055,0.339110245,0.288345699,0.330188443,0.273269874,-0.041991804
Q.5-m3,0.725748912,0.728710897,1,0.75088893,0.659676802,0.635869896,0.682317228,0.248416138,0.557243125,0.634999726,0.548280893,0.554435989,0.532962949,0.297944279,-0.00213747,0.106995568,0.200949271,0.071737664,0.153929759,-0.151187665,0.257259969,0.073158515,0.396305955,0.211886116,-0.015974798,-0.007687982,0.145781774,0.15254977,0.182980041,0.149464403,0.33813594,0.421513141,0.098972857,0.225958413,0.088791932,-0.077319872,0.153600454,0.16503464,0.046308505,0.124004289,0.113549562,0.186124114,0.355035139,0.319641335,-0.090213239,-0.088325847,-0.140658309,-0.146080916,-0.156289936,-0.098531703,-0.034656775,-0.268529685,-0.166058143,0.226097594,0.248277558,0.21674925,0.145770142,0.108123617,0.218823186,0.258816514,-0.002789141,0.156645456,0.043098171,0.097986837,0.352706921,0.242316074,0.315401905,0.431560009,0.330941484,0.303709237,-0.106630358,-0.156350149,-0.261574606,-0.060542556,0.095129513,0.028570718,0.276101409,0.259699727,0.237627561,0.108347543,0.258380927,0.168768853,0.405141558,0.218813148,0.279686771,0.242075696,0.057937907,0.217734113,0.30315609,0.113965777,0.154841945,-0.059014177,0.003656016,0.159799634,0.286288181,0.095492562,0.286034315,0.062157077,0.009835764,0.036576838,-0.077145415,-0.02881473,0.136554431,0.09455041,0.290390243,0.031027998,0.052119253,0.381933514,0.359193441,0.099365424,0.140349711,0.415775425,0.361250482,0.315890747,0.396712907,0.320250318,-0.050058441
Q.5-m4,0.732664557,0.662751993,0.75088893,1,0.646081234,0.676299068,0.721312843,0.261413236,0.650354898,0.650539118,0.569291338,0.597787041,0.544207448,0.297407627,-0.00401175,0.112383154,0.18240202,0.083521897,0.15329116,-0.173777677,0.242019183,0.074498715,0.337935782,0.163763724,-0.083448557,-0.052057952,0.174983472,0.200250208,0.20978766,0.192940644,0.397633625,0.368829103,0.141039247,0.256607372,0.085524689,-0.101632612,0.162032034,0.183331888,0.053267481,0.122283687,0.080326711,0.108657533,0.349860877,0.299709754,-0.09418972,-0.131187617,-0.098576296,-0.136951849,-0.150423994,-0.064671723,-0.031811578,-0.331675518,-0.178128716,0.195695966,0.288800273,0.21570672,0.126966383,0.115336726,0.234506694,0.305929544,0.036872439,0.20703977,0.094389477,0.132495548,0.352923542,0.306022086,0.384634875,0.416462799,0.431575245,0.302978713,-0.124683807,-0.181707222,-0.232150893,-0.060703258,0.108619773,0.026722573,0.263298853,0.252115827,0.293934662,0.141052209,0.276654368,0.204218502,0.40033644,0.257848959,0.235201418,0.220114133,0.078480717,0.231895658,0.313812577,0.11926836,0.144873744,-0.087426345,-0.035711735,0.170867618,0.279047409,0.061489758,0.244460201,0.076314495,-0.004596911,0.046295438,-0.113424189,-0.068377398,0.133490165,0.09677949,0.343795509,0.00664995,0.068263082,0.400799537,0.341276558,0.129302666,0.104135678,0.443267119,0.371275085,0.334516586,0.403878694,0.345423937,-0.039271281
Q.5-m5,0.517022822,0.672403131,0.659676802,0.646081234,1,0.531531124,0.579859424,0.216724509,0.616805069,0.593596987,0.536949602,0.502623429,0.54543321,0.341522534,0.071396251,0.133091453,0.224622085,0.126608876,0.209843801,-0.100775888,0.287173276,0.094240532,0.380733951,0.251858232,-0.015512826,-0.01152361,0.209063519,0.178975341,0.191802918,0.15904492,0.256285855,0.388565963,0.149688308,0.233965341,0.088175352,-0.131799944,0.163883614,0.225919242,0.108203745,0.169228538,0.140326995,0.156853782,0.285646755,0.324369918,-0.058405786,0.024339005,0.011670679,-0.04327464,-0.098075156,-0.170668987,0.080230223,-0.196270705,-0.044753031,0.283329144,0.261607003,0.21735045,0.141155014,0.153070595,0.255798268,0.345111792,0.108850779,0.178163957,0.139689197,0.151923326,0.365850089,0.268717334,0.348462909,0.390862859,0.314216338,0.271669376,-0.023263663,-0.062712165,-0.129626288,0.053019753,0.207405578,0.128464566,0.244837227,0.236797827,0.263527989,0.203122075,0.312143749,0.240600412,0.351455527,0.233750871,0.281319274,0.22617151,0.130823724,0.220073532,0.305507595,0.175431317,0.183483854,0.072235298,0.054484583,0.181433952,0.270820426,0.139590978,0.274465937,0.151755825,0.127642111,0.140451522,0.01894874,0.047026969,0.17672393,0.178755988,0.237632278,0.107565097,0.026702332,0.334955309,0.274320449,0.162191662,0.083996501,0.404936446,0.345326579,0.243769821,0.339225703,0.322392063,-0.036274574
Q.5-m6,0.684458682,0.552491069,0.635869896,0.676299068,0.531531124,1,0.792027733,0.18459667,0.640118095,0.57996156,0.578121286,0.70187476,0.558924378,0.331282507,0.058919744,0.156556264,0.181070293,0.104970629,0.186169035,-0.144638273,0.28802933,0.095097284,0.350241499,0.255559212,-0.048843635,0.003429118,0.197647466,0.221883444,0.257385128,0.221610241,0.423275169,0.297166878,0.1759331,0.199357149,0.117063429,0.015677935,0.132483196,0.185000104,0.064002562,0.113845531,0.154203412,0.137873225,0.317671384,0.279324885,0.001178611,-0.088456658,-0.078711817,-0.092638916,-0.1698699,-0.095272867,-0.005602474,-0.293659004,-0.171446657,0.166150499,0.265673972,0.289839095,0.184249547,0.182727221,0.285875636,0.333836845,0.02634256,0.243688375,0.10022897,0.098121091,0.336117556,0.252673025,0.32771818,0.358578352,0.355887269,0.291858288,-0.140757331,-0.156073367,-0.265637936,-0.00644434,0.114651153,0.062744361,0.300766618,0.324740035,0.340040932,0.160079972,0.320978947,0.2445406,0.462886781,0.268393856,0.323339557,0.252330138,0.130985698,0.293867539,0.369868324,0.160955914,0.174326084,-0.072395988,-0.024051396,0.226103738,0.290745061,0.069407451,0.236758133,0.089181533,0.015336586,0.095501818,-0.078441232,0.024129196,0.094093763,0.096632395,0.274587336,0.062236395,0.030396605,0.30612136,0.243677667,0.14619068,0.107440185,0.322126357,0.300045314,0.270616349,0.394805107,0.422027829,-0.003382452
Q.5-m7,0.669095984,0.669366868,0.682317228,0.721312843,0.579859424,0.792027733,1,0.235144001,0.655739128,0.64799067,0.614630335,0.626856264,0.61414302,0.290136428,0.004341898,0.095555335,0.202975729,0.053235705,0.136213602,-0.152899238,0.239584351,0.058166812,0.327319094,0.183808535,-0.062383524,-0.007503895,0.188435626,0.205760698,0.205596993,0.195798294,0.425324004,0.340123652,0.147177009,0.198519062,0.100964404,0.004026591,0.117464258,0.159588296,0.012872174,0.07615103,0.09819478,0.112796589,0.273601926,0.252278581,-0.072065842,-0.107733466,-0.106893006,-0.136647619,-0.146768583,-0.079093602,-0.054247426,-0.33540732,-0.198129293,0.198464256,0.280857243,0.254869794,0.150395766,0.106913597,0.251330814,0.339845189,0.038615911,0.237433939,0.081489336,0.099955341,0.35207258,0.297609521,0.357224298,0.393071795,0.389187023,0.351848843,-0.170961022,-0.232925241,-0.300822786,-0.045829776,0.076865059,0.013469124,0.269932978,0.288131725,0.278397855,0.088990801,0.300072946,0.223143365,0.471047667,0.248246523,0.308888995,0.265196642,0.111611438,0.232303235,0.356812652,0.124053542,0.142147459,-0.087774653,-0.049600753,0.20561004,0.313825671,0.099170279,0.229224447,0.078125013,0.026057289,0.09324303,-0.077548438,-0.043080418,0.102371706,0.107674638,0.355775803,0.004158738,0.084502088,0.418022349,0.364360482,0.139691009,0.15959098,0.376946307,0.372976495,0.346040427,0.449835996,0.437145321,-0.040156778
Q.5-m8,0.268526063,0.319994809,0.248416138,0.261413236,0.216724509,0.18459667,0.235144001,1,0.142523863,0.281236328,0.19421047,0.136653662,0.150975238,-0.217765925,-0.210536088,-0.251582931,-0.116016289,-0.141668788,-0.206043091,-0.293925756,-0.054037527,-0.200034819,-0.034282213,-0.097064328,-0.115226517,-0.136787304,-0.050930822,-0.083906666,-0.056150093,-0.079776266,0.077842736,0.09988891,-0.12391732,-0.067621865,-0.173159265,0.155196769,-0.240180394,-0.1956767,-0.199454081,-0.189951196,-0.193558803,-0.083717376,-0.044207785,1.73E-05,-0.13526343,-0.202634486,-0.179725723,-0.200107993,-0.133436615,0.156943318,-0.166383441,-0.337856768,-0.244006021,0.0881005,0.084702598,0.028281577,-0.094977677,-0.106500845,-0.022446557,0.068874566,-0.231476498,-0.045670454,-0.09870549,-0.093290911,0.134575374,0.110943214,0.105654952,0.199820246,0.187406206,0.17403814,-0.268942345,-0.304811926,-0.293920419,-0.245939513,-0.178211816,-0.176990234,-0.033881253,-0.06369574,-0.047048572,-0.140404448,0.026824401,-0.092427559,0.132226977,-0.044125999,0.001339371,0.022868242,-0.144284487,-0.018212589,0.008448031,-0.194979787,-0.209261703,-0.259866565,-0.265900475,-0.092157075,0.002172912,-0.150671872,-0.051087352,-0.222483642,-0.186426085,-0.131336521,-0.26100641,-0.211409668,-0.096407475,-0.131242399,0.163935794,-0.212189566,0.235782553,0.278159341,0.202756685,-0.071759534,0.272849082,0.150614198,0.07037915,0.093351322,0.129526275,0.058222121,-0.03319123
Q.5-m9,0.551546052,0.529536856,0.557243125,0.650354898,0.616805069,0.640118095,0.655739128,0.142523863,1,0.63374014,0.600352211,0.60861707,0.584555007,0.346778801,0.067671796,0.186424804,0.207249628,0.103296997,0.176575787,-0.10716399,0.300943328,0.110634606,0.350839747,0.248607406,-0.052927112,-0.002997048,0.195611728,0.193833785,0.158957551,0.169487369,0.3911706,0.390227705,0.179006898,0.196306169,0.156834921,-0.08257483,0.225405193,0.316649352,0.160387543,0.198392123,0.181173488,0.193515346,0.407706419,0.346873464,-0.025829071,0.00985299,0.041374563,-0.046009508,-0.163078256,-0.124662235,0.009998418,-0.276481809,-0.055238784,0.234282087,0.345341606,0.304178422,0.197854726,0.199267104,0.249729652,0.313254959,0.060776029,0.193979535,0.151217039,0.200624926,0.341918526,0.294464168,0.350005386,0.427344736,0.407411218,0.258594083,-0.123422427,-0.149761633,-0.21413361,0.061580563,0.178584883,0.124867901,0.311344981,0.299830224,0.360315775,0.214476687,0.359575849,0.29971365,0.446744256,0.303435802,0.310648089,0.264169667,0.161486831,0.240071189,0.330185071,0.182544219,0.202435756,0.028628446,0.015249165,0.189317058,0.268803007,0.128239511,0.287066401,0.1666952,0.109305017,0.164442915,-0.011293529,0.017977153,0.156598743,0.137556798,0.32845727,0.106303069,0.031082118,0.395623771,0.336775337,0.238781931,0.060915448,0.384961022,0.353137222,0.325361137,0.433856452,0.433684488,-0.04111565
Q.5-m10,0.588999268,0.661040012,0.634999726,0.650539118,0.593596987,0.57996156,0.64799067,0.281236328,0.63374014,1,0.643451895,0.505833429,0.598201922,0.212138472,-0.02269582,0.050653656,0.185587575,0.016825592,0.081411282,-0.193351222,0.190986194,0.002755916,0.319228855,0.131006075,-0.040698536,-0.08489398,0.146725132,0.148764433,0.116644254,0.103925424,0.365159482,0.346670321,0.05473778,0.18027823,0.038987764,-0.10723216,0.043232615,0.091881622,-0.042092188,0.035799547,0.048180531,0.096660543,0.283291831,0.253832321,-0.054326172,-0.058020001,-0.081183552,-0.095865221,-0.15080676,-0.057679326,-0.038560366,-0.32299725,-0.139009602,0.235733746,0.25593873,0.222480946,0.118837667,0.122443142,0.222234811,0.254528672,-0.046974226,0.129911636,0.053456953,0.114106932,0.417043694,0.291195912,0.307174623,0.492426024,0.406550792,0.363871927,-0.162551708,-0.209517276,-0.275432674,-0.033838634,0.084389763,0.042799633,0.208511847,0.193406817,0.207752915,0.11003275,0.313809379,0.172504486,0.426161578,0.221316944,0.25380037,0.200288601,0.045225791,0.196642251,0.29644242,0.103544317,0.074758631,-0.113824741,-0.076993945,0.120083604,0.241710187,0.066761306,0.174500887,0.018332797,-0.002142545,0.039385789,-0.127591071,-0.06205701,0.098426832,0.087361629,0.290927378,0.019931445,0.143724184,0.461358406,0.395471454,0.120125789,0.137099596,0.393982092,0.339970548,0.278909462,0.358539832,0.286680642,-0.042769492
