ＩＤ,年齢,都道府県,性別,結婚,職業,業種,世帯年収,居住形態,子供有無,Q.1_1,Q.1_2,Q.2_1,Q.2_2,Q.2_3,Q.2_4,Q.2_5,Q.2_6
m896165573,38,東京都,女性,既婚,会社員(正社員),製造業,600万～700万未満,持ち家（マンション）,あり,1,0,1,0,0,0,0,0
m8998824193,74,兵庫県,男性,既婚,無職,勤めていない,200万～300万未満,持ち家（一戸建て）,あり,1,0,0,0,1,0,0,0
m8962646311,37,鹿児島県,男性,未婚,会社員（契約・派遣社員）,商社・卸売り・小売業,800万～900万未満,持ち家（マンション）,なし,1,0,1,0,0,0,0,0
m8998975351,69,岡山県,男性,既婚,無職,勤めていない,600万～700万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8998510314,41,富山県,男性,未婚,会社員(正社員),サービス業,600万～700万未満,持ち家（一戸建て）,なし,1,0,1,0,0,0,0,0
m8994317520,55,東京都,男性,未婚,会社員(正社員),製造業,300万～400万未満,賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m8998404906,61,埼玉県,男性,未婚,会社員（契約・派遣社員）,教育業,300万～400万未満,持ち家（一戸建て）,あり,1,0,1,0,0,0,0,0
m8965646262,43,静岡県,女性,未婚,無職,勤めていない,200万～300万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m8998265535,63,神奈川県,男性,既婚,会社員(正社員),その他,600万～700万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8981715619,44,香川県,女性,既婚,専業主婦,勤めていない,200万～300万未満,持ち家（一戸建て）,あり,1,0,0,0,1,0,0,0
m8998331247,43,埼玉県,女性,既婚,専業主婦,勤めていない,800万～900万未満,賃貸（マンション）,なし,1,0,1,0,0,0,0,0
m8997107,49,埼玉県,男性,未婚,会社員(正社員),製造業,400万～500万未満,持ち家（一戸建て）,なし,1,0,0,0,1,1,1,0
m8998858605,52,千葉県,男性,既婚,会社員(正社員),製造業,200万～300万未満,賃貸（マンション）,なし,1,0,1,1,0,0,0,0
m899359248,54,東京都,男性,既婚,会社員(正社員),情報通信業,600万～700万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8998935026,81,埼玉県,男性,既婚,無職,勤めていない,200万～300万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8990578307,59,北海道,男性,未婚,無職,勤めていない,100万未満,持ち家（一戸建て）,なし,1,0,1,1,0,0,0,0
m899242688,58,静岡県,男性,既婚,会社員(正社員),教育業,800万～900万未満,持ち家（一戸建て）,あり,1,0,0,1,0,0,0,0
m8998312387,60,大阪府,男性,未婚,会社員(正社員),製造業,500万～600万未満,持ち家（マンション）,なし,1,0,0,1,0,0,0,0
m899448372,66,東京都,男性,未婚,無職,勤めていない,300万～400万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8998988369,71,北海道,女性,未婚,無職,勤めていない,100万～200万未満,持ち家（一戸建て）,あり,1,0,0,0,1,0,0,0
m8998396919,74,山口県,男性,既婚,自営業,商社・卸売り・小売業,"2,000万以上",持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8998732431,25,東京都,男性,未婚,パート・アルバイト,教育業,100万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8982736119,32,埼玉県,女性,未婚,無職,勤めていない,100万未満,賃貸（アパート）,なし,1,0,1,1,1,1,1,0
m8998828364,42,石川県,女性,既婚,専業主婦,勤めていない,200万～300万未満,その他,あり,0,1,0,0,0,0,0,0
m899442045,37,岡山県,男性,未婚,会社員(正社員),製造業,700万～800万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8998629794,69,愛媛県,男性,未婚,無職,勤めていない,100万～200万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m899192242,54,愛知県,女性,既婚,専業主婦,勤めていない,600万～700万未満,持ち家（マンション）,なし,0,1,0,0,0,0,0,0
m8995581389,55,兵庫県,男性,既婚,会社員(正社員),建設業,500万～600万未満,持ち家（マンション）,あり,1,0,0,1,1,1,0,0
m899436759,60,山口県,男性,既婚,経営者・役員,商社・卸売り・小売業,700万～800万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m89949572,60,神奈川県,男性,既婚,経営者・役員,商社・卸売り・小売業,"2,000万以上",持ち家（一戸建て）,あり,1,0,1,1,0,0,1,0
m8988232710,33,東京都,男性,未婚,会社員（契約・派遣社員）,その他,200万～300万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m899778111,48,北海道,女性,既婚,会社員(正社員),建設業,200万～300万未満,持ち家（一戸建て）,あり,1,0,0,0,1,0,0,0
m8998553252,34,香川県,女性,未婚,パート・アルバイト,その他,200万～300万未満,持ち家（一戸建て）,なし,1,0,0,1,1,0,0,0
m899462600,57,宮城県,男性,既婚,会社員(正社員),製造業,"1,000万～1,200万未満",持ち家（マンション）,あり,1,0,1,1,1,0,0,0
m89989139152,61,香川県,男性,未婚,自営業,サービス業,400万～500万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8998341775,44,京都府,女性,未婚,自営業,商社・卸売り・小売業,500万～600万未満,持ち家（一戸建て）,なし,1,0,1,0,0,0,0,0
m8991907084,76,兵庫県,女性,既婚,無職,勤めていない,300万～400万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8998639957,48,京都府,女性,未婚,会社員(正社員),建設業,200万～300万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m8995584959,67,岩手県,男性,既婚,無職,勤めていない,400万～500万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m899225383,82,神奈川県,男性,既婚,無職,勤めていない,500万～600万未満,持ち家（一戸建て）,あり,1,0,0,1,1,0,1,0
m899438615,67,愛知県,男性,既婚,無職,勤めていない,100万～200万未満,その他,あり,0,1,0,0,0,0,0,0
m8998607314,65,大阪府,男性,既婚,自営業,サービス業,500万～600万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m89925939,63,千葉県,男性,既婚,経営者・役員,製造業,600万～700万未満,持ち家（一戸建て）,あり,1,0,1,1,0,0,0,0
m8982807038,53,茨城県,男性,未婚,無職,勤めていない,300万～400万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8961632598,25,東京都,男性,未婚,パート・アルバイト,教育業,100万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8994369544,58,熊本県,男性,既婚,経営者・役員,建設業,200万～300万未満,持ち家（一戸建て）,あり,1,0,0,1,0,0,0,0
m8991671742,79,埼玉県,男性,既婚,無職,勤めていない,400万～500万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8995468311,44,愛知県,男性,既婚,会社員(正社員),製造業,"900万～1,000万未満",持ち家（一戸建て）,あり,1,0,1,1,0,1,0,0
m8965516613,42,千葉県,女性,既婚,専業主婦,勤めていない,600万～700万未満,賃貸（マンション）,あり,1,0,0,0,1,0,0,0
m8962668954,30,神奈川県,男性,未婚,無職,勤めていない,800万～900万未満,持ち家（一戸建て）,なし,1,0,0,1,0,0,1,0
m8998767291,42,千葉県,女性,既婚,専業主婦,勤めていない,600万～700万未満,賃貸（マンション）,あり,1,0,0,0,1,0,0,0
m8982221236,22,千葉県,女性,未婚,学生,勤めていない,300万～400万未満,持ち家（一戸建て）,なし,1,0,1,0,0,0,0,0
m8996660336,50,沖縄県,女性,未婚,会社員(正社員),運送・輸送業,100万～200万未満,賃貸（アパート）,なし,1,0,0,0,0,1,1,0
