ＩＤ,年齢,都道府県,性別,結婚,職業,業種,世帯年収,居住形態,子供有無,Q.1-1(FA),Q.2,Q.3-1(FA),Q.4-1(FA),Q.5-m1,Q.5-m2,Q.5-m3,Q.5-m4,Q.5-m5,Q.5-m6,Q.5-m7,Q.5-m8,Q.5-m9,Q.5-m10,Q.6-m1,Q.6-m2,Q.6-m3,Q.6-m4,Q.6-m5,Q.6-m6,Q.6-m7,Q.6-m8,Q.6-m9,Q.6-m10,Q.7-m1,Q.7-m2,Q.7-m3,Q.7-m4,Q.7-m5,Q.7-m6,Q.7-m7,Q.7-m8,Q.7-m9,Q.7-m10,Q.8-m1,Q.8-m2,Q.8-m3,Q.8-m4,Q.8-m5,Q.8-m6,Q.8-m7,Q.8-m8,Q.8-m9,Q.8-m10,Q.9-m1,Q.9-m2,Q.9-m3,Q.9-m4,Q.9-m5,Q.9-m6,Q.9-m7,Q.9-m8,Q.9-m9,Q.9-m10,Q.10-m1,Q.10-m2,Q.10-m3,Q.10-m4,Q.10-m5,Q.10-m6,Q.10-m7,Q.10-m8,Q.10-m9,Q.10-m10,Q.11-m1,Q.11-m2,Q.11-m3,Q.11-m4,Q.11-m5,Q.11-m6,Q.11-m7,Q.11-m8,Q.11-m9,Q.11-m10,Q.12-m1,Q.12-m2,Q.12-m3,Q.12-m4,Q.12-m5,Q.12-m6,Q.12-m7,Q.12-m8,Q.12-m9,Q.12-m10,Q.13-m1,Q.13-m2,Q.13-m3,Q.13-m4,Q.13-m5,Q.14-m1,Q.14-m2,Q.14-m3,Q.14-m4,Q.14-m5,Q.14-m6,Q.14-m7,Q.14-m8,Q.14-m9,Q.14-m10,Q.15-m1,Q.15-m2,Q.15-m3,Q.15-m4,Q.15-m5,Q.15-m6,Q.15-m7,Q.15-m8,Q.15-m9,Q.15-m10,Q.16-m1,Q.16-m2,Q.16-m3,Q.16-m4,Q.16-m5,Q.16-m6,Q.17-m1,Q.17-m2,Q.17-m3,Q.17-m4,Q.17-m5,Q.17-m6,Q.18-m1,Q.18-m2,Q.18-m3,Q.18-m4,Q.18-m5,Q.18-m6,Q.19-m1,Q.19-m2,Q.19-m3,Q.19-m4,Q.19-m5,Q.19-m6
m89788239129,28,大阪府,女性,未婚,会社員（契約・派遣社員）,その他,600万～700万未満,持ち家（一戸建て）,なし,山崎賢人,1,15000,15000,5,4,1,6,5,5,3,6,5,6,4,5,5,5,4,4,4,5,7,1,4,5,5,4,5,7,5,5,6,3,4,3,4,6,3,5,4,5,3,4,3,4,2,4,4,7,5,7,6,7,6,6,3,6,7,6,5,7,5,7,6,4,5,4,3,4,6,7,7,7,7,7,7,7,7,5,5,4,6,7,6,6,5,5,4,7,5,6,4,6,4,3,4,3,6,6,5,5,7,3,3,4,6,1,7,6,3,3,3,3,3,4,5,7,7,2,4,7,5,7,7,7,7,7,6,6,6,7,7
m8965516613,42,千葉県,女性,既婚,専業主婦,勤めていない,600万～700万未満,賃貸（マンション）,あり,池松壮亮,1,3000,5000,5,5,6,5,5,6,5,2,5,5,5,5,4,3,4,3,3,5,4,2,4,4,5,5,5,5,5,5,6,6,5,5,5,6,5,4,6,5,5,5,4,5,5,5,5,5,5,5,5,4,4,3,3,5,3,4,5,3,4,4,5,4,4,4,4,5,5,5,5,5,4,4,3,4,4,4,5,5,5,4,5,5,5,5,5,5,5,4,5,4,4,4,1,1,1,4,4,4,3,3,4,3,4,3,3,4,5,4,5,4,5,5,5,5,5,6,6,4,5,5,4,5,4,5,4,5,4,4,4
m8976461814,48,東京都,男性,未婚,会社員(正社員),金融・証券・保険業,"1,800万～2,000万未満",持ち家（マンション）,なし,イビョンホン,1,0,5000,6,7,7,7,5,5,6,2,6,7,6,6,6,2,1,1,2,1,1,1,2,2,3,1,1,1,6,6,6,5,5,5,3,6,5,6,5,5,5,5,5,6,5,5,4,5,5,2,5,4,2,2,2,6,5,5,3,2,6,5,2,3,6,6,6,6,6,7,6,6,2,2,1,2,1,2,4,4,4,3,6,4,5,5,5,5,3,2,1,2,1,1,1,1,1,3,4,3,1,1,5,3,2,2,2,6,2,2,6,6,5,2,6,6,6,6,6,5,4,3,5,5,4,5,6,2,3,5,2
m8974609254,41,福岡県,男性,既婚,会社員(正社員),医療・福祉,800万～900万未満,持ち家（マンション）,あり,神田沙也加,2,50000,35000,6,6,6,6,4,6,7,6,5,5,5,5,5,5,5,5,5,5,7,5,5,6,5,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,6,6,6,7,5,4,6,6,6,6,6,4,5,6,6,7,7,7,6,6,6,6,7,7,5,6,5,6,5,6,5,6,6,6,6,5,2,3,5,5,5,5,5,5,5,7,7,7,5,6,4,3,3,2,2,2,6,3,5,5,5,4,4,2,2,6,5,5,5,5,5,5,5,5,4,5,6,5,7,7,7,6,2,4,5,6,2,6,5,1
m8976839806,46,沖縄県,女性,既婚,専業主婦,勤めていない,300万～400万未満,持ち家（一戸建て）,あり,小栗旬,1,0,1000,7,4,4,4,4,7,4,4,4,7,5,1,4,3,6,1,1,5,1,1,1,1,4,4,7,1,7,7,7,7,4,4,2,4,4,4,2,1,1,1,4,1,1,1,6,1,4,1,7,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,6,6,3,4,4,4,1,1,1,1,2,1,1,1,1,1,1,1,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,7,1,1,1,7,1,1,7
m89787738374,19,石川県,女性,未婚,学生,勤めていない,300万～400万未満,持ち家（一戸建て）,なし,吉高由里子,2,0,20000,7,7,7,7,5,5,7,1,6,7,7,5,6,1,1,1,1,3,3,1,1,1,3,1,4,1,7,7,7,7,4,6,7,2,5,1,3,1,1,4,5,5,4,1,4,5,5,7,7,1,5,1,4,3,4,5,6,4,4,3,4,4,4,5,6,6,5,6,6,7,1,1,1,1,2,1,6,6,6,1,4,6,5,6,7,5,1,1,4,7,1,1,1,1,2,1,1,1,1,1,1,1,1,6,1,5,1,4,6,7,4,7,7,4,7,7,5,1,1,1,1,7,3,1,7,7,2,2,6
m8998767291,42,千葉県,女性,既婚,専業主婦,勤めていない,600万～700万未満,賃貸（マンション）,あり,米倉涼子,2,3000,5000,5,6,5,6,5,5,6,1,5,5,6,5,6,5,5,6,5,4,4,1,5,4,5,5,2,5,6,6,6,5,5,5,6,5,5,5,4,5,5,5,5,5,5,6,6,6,5,5,5,3,5,5,4,6,5,5,5,5,5,5,5,4,5,6,5,5,6,5,5,5,3,3,3,4,4,4,5,5,5,5,5,5,5,6,5,5,5,4,4,5,4,1,1,1,1,5,4,5,4,4,5,5,4,4,5,5,4,5,5,4,4,5,4,5,5,4,5,5,5,4,4,4,3,5,4,5,4,4,4
m89789270222,42,三重県,女性,未婚,パート・アルバイト,製造業,300万～400万未満,寮・下宿,なし,坂口健太郎,1,0,10000,7,6,6,7,4,7,7,2,5,7,7,7,7,5,3,4,3,6,5,4,4,5,5,5,7,6,7,7,7,7,6,6,6,7,7,2,4,2,2,5,2,2,2,5,6,2,2,2,5,2,1,1,1,5,4,4,5,3,5,5,4,5,4,5,5,7,7,7,7,7,5,4,3,4,3,2,6,6,6,6,7,7,5,7,7,6,6,2,3,6,5,2,2,2,2,5,4,5,2,2,2,2,2,5,3,6,5,4,7,7,7,4,5,5,7,7,7,5,4,4,4,5,4,4,3,6,2,3,5
m89788574233,20,長野県,女性,未婚,学生,勤めていない,100万未満,賃貸（アパート）,なし,三浦翔平,1,0,10000,6,6,6,6,6,6,6,6,6,6,5,6,6,4,3,3,4,3,2,2,4,3,4,3,1,2,6,6,6,5,5,5,6,5,6,4,4,4,4,4,3,3,3,5,5,6,6,5,4,2,4,3,3,5,5,5,5,4,5,4,3,6,5,6,4,4,6,6,6,6,4,3,3,4,3,3,4,6,6,5,4,5,5,5,5,5,5,5,5,7,6,5,5,6,6,5,6,5,6,6,6,5,6,2,5,5,6,6,5,5,5,6,4,6,6,5,6,4,4,4,5,6,5,5,6,5,4,4,4
m89788121728,36,埼玉県,女性,既婚,会社員(正社員),その他,"900万～1,000万未満",賃貸（マンション）,あり,松下洸平,1,1000,12000,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,6,6,6,6,1,5,3,5,2,7,4,7,7,7,7,7,7,6,4,5,3,6,4,1,4,4,5,5,7,6,3,2,5,5,1,1,1,1,5,7,7,7,1,7,7,1,7,2,7,5,7,7,7,7,7,1,1,1,1,1,7,7,7,7,5,7,6,5,7,7,5,7,5,4,7,5,1,1,1,1,4,1,4,1,1,1,1,1,7,7,7,1,2,7,7,4,1,7,7,7,7,7,6,6,7,5,1,7,7,5,7,5,5,1
